artists,genres
arnej,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
galantis,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
bunt.,[]
ayla,"['folktronica', 'high vibe', 'shamanic']"
first sight,[]
killogy,[]
gai barone,"['italian trance', 'progressive house']"
formal one,['progressive trance']
da tweekaz,"['classic hardstyle', 'euphoric hardstyle']"
gaia,[]
a & z,"['reggaeton', 'urbano latino']"
tarmo tammel,[]
dj snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
amir hussain,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
mike posner,"['dance pop', 'pop', 'pop dance', 'pop rap']"
una,[]
y-traxx,[]
funkagenda,['progressive house']
benny benassi,"['dutch house', 'edm', 'electro house', 'pop dance']"
york,[]
dead c.a.t bounce,['electro trash']
f.o.o.l,"['musica chihuahuense', 'musica mexicana', 'norteno', 'norteno-sax', 'sad sierreno', 'sierreno']"
cate kanell,['vocal trance']
matt bukovski,"['progressive uplifting trance', 'trance', 'uplifting trance']"
simon paul,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
re:locate,"['dutch trance', 'progressive trance', 'uplifting trance']"
dns project,['deep uplifting trance']
andrã© visior,['Unknown']
witness45,['progressive uplifting trance']
sneijder,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
c-systems,"['progressive trance', 'uplifting trance']"
audrey gallagher,"['uplifting trance', 'vocal trance']"
kelly andrew,['progressive uplifting trance']
storm,"['grime', 'uk hip hop']"
capa,[]
liquid soul,"['progressive psytrance', 'psychedelic trance']"
roger shah,"['progressive house', 'trance', 'uplifting trance']"
glenn morrison,[]
seroya,[]
marc marberg,[]
philippe el sisi,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
planet perfecto knights,[]
jak aggas,"['tech trance', 'uplifting trance']"
solarstone,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
artisan,['rap algerien']
dart rayne,"['deep uplifting trance', 'progressive uplifting trance', 'ukrainian electronic', 'uplifting trance']"
susana,"['folklore peruano', 'musica afroperuana', 'musica criolla']"
emanuele braveri,[]
davey asprey,"['progressive trance', 'trance', 'uplifting trance']"
amir afargan,[]
adip kiyoi,['progressive trance']
parker & hanson,"['progressive house', 'progressive trance house']"
yves larock,['disco house']
brklyn,['pop edm']
activa,['high vibe']
kygo,"['edm', 'pop', 'pop dance', 'tropical house']"
major lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']"
lane 8,"['gauze pop', 'melodic house', 'progressive house']"
bossanova,[]
ralphie b,"['dutch trance', 'trance', 'uplifting trance']"
craig connelly,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
frainbreeze,[]
alex klingle,['progressive trance']
m6,[]
firewall,[]
monoverse,[]
tim verkruissen,[]
chris sx,[]
symbolic,"['psychill', 'psydub']"
yoel lewis,['progressive trance']
dakota,[]
alex van reeve,['progressive uplifting trance']
jochen miller,"['dutch trance', 'progressive house', 'trance', 'uplifting trance']"
zack mia,[]
doublev,[]
mark sherry,"['hard trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
dim3nsion,['pop']
matt chowski,[]
andy blueman,"['progressive uplifting trance', 'uplifting trance']"
lrkr,[]
kaaris,"['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'trap antillais']"
stevie nicks,['heartland rock']
new order,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']"
fleetwood mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']"
cipher prime studios,['Unknown']
future antics,[]
blue silence,[]
mike squillo,[]
ultimate,"[""children's story""]"
tranceye,"['progressive uplifting trance', 'uplifting trance']"
duumu,"['future bass', 'gaming edm']"
koven,[]
koan sound,"['chillstep', 'complextro', 'filthstep', 'glitch', 'glitch hop']"
aero chord,"['bass trap', 'gaming edm']"
dedderz,['cyberpunk']
buzzg,"['anime rock', 'vocaloid']"
soulfy,['melodic dubstep']
myrone,['nightrun']
monaca:factory,['vocaloid']
tjh87,['finnish edm']
solar fields,"['ambient trance', 'downtempo', 'psychill', 'space ambient']"
puppet,"['baroque pop', 'modern rock', 'sheffield indie']"
kasger,"['danish electronic', 'gaming edm']"
star driver,[]
apex,[]
65daysofstatic,"['instrumental post-rock', 'post-rock']"
grendel,"['aggrotech', 'cyberpunk', 'ebm', 'futurepop', 'industrial metal']"
bt,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
bitonal landscape,['vgm remix']
anamanaguchi,"['bitpop', 'chiptune', 'indie game soundtrack', 'nintendocore']"
tristam,"['brostep', 'complextro', 'dancefloor dnb', 'edm', 'filthstep', 'gaming edm']"
ninja sex party,['comic']
danimal cannon,"['buffalo ny indie', 'chiptune', 'speedrun']"
chris christodoulou,"['indie game soundtrack', 'video game music']"
mystery skulls,['solipsynthm']
carpenter brut,"['cyberpunk', 'darksynth', 'synthwave']"
3 doors down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
nickelback,"['alternative metal', 'canadian rock', 'post-grunge']"
system of a down,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
slipknot,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
foo fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
green day,"['modern rock', 'permanent wave', 'punk', 'rock']"
moonbeam,['russian edm']
equilibrium,"['folk metal', 'german metal', 'german pagan metal', 'melodic death metal', 'power metal', 'symphonic metal', 'viking metal']"
trivecta,"['dubstep', 'melodic dubstep', 'pop edm']"
dima lancaster,['otacore']
richaadeb,"['otacore', 'pixel']"
cryptex,[]
wontolla,[]
evoke,[]
russell g.,[]
dreamy,['calming instrumental']
radion6,"['progressive trance', 'uplifting trance']"
anna lee,[]
brian magix,[]
mhammed el alami,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
three drives,"['bubble trance', 'classic progressive house', 'deep progressive trance']"
bluskay,['progressive uplifting trance']
alan morris,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']"
toby fox,"['indie game soundtrack', 'otacore', 'pixel']"
arctic moon,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
feed me,"['brostep', 'complextro', 'edm', 'electro house', 'filthstep']"
teminite,['speedrun']
draper,"['chillstep', 'complextro', 'filthstep', 'gaming edm', 'melodic dubstep']"
d.notive,['synthwave']
tokyo machine,['japanese dance pop']
the birthday massacre,"['canadian rock', 'dark cabaret', 'industrial metal', 'pixie', 'steampunk']"
eminem,"['detroit hip hop', 'hip hop', 'rap']"
the blizzard,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
xilent,"['brostep', 'complextro', 'electro house', 'filthstep', 'gaming dubstep', 'melodic dubstep', 'neurostep']"
fractal,['speedrun']
ephixa,"['canadian electronic', 'chillstep', 'complextro', 'edm', 'filthstep', 'gaming edm']"
crush 40,['j-metal']
zircon,['chiptune']
brentalfloss,"['antiviral pop', 'comic', 'nerdcore', 'scorecore']"
ben briggs,"['pixel', 'vgm remix']"
rammstein,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']"
prototyperaptor,"['chiptune', 'complextro', 'gamecore']"
mykah,"['pixel', 'vgm remix']"
the thrillseekers,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
eptic,"['brostep', 'dubstep', 'filthstep']"
flyleaf,"['alternative metal', 'christian alternative rock', 'nu metal', 'post-grunge']"
noisia,"['breakbeat', 'brostep', 'complextro', 'deep dnb', 'drum and bass', 'dutch dnb', 'neurofunk']"
doseone,"['abstract hip hop', 'psychedelic hip hop']"
andy moor,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
alpha 9,"['progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
jeff williams,['otacore']
adam ellis,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
passenger 75,['tech trance']
invalyd,[]
luke terry,['progressive uplifting trance']
elles de graaf,['vocal trance']
karanda,[]
jp bates,[]
caleb hyles,"['otacore', 'pixel']"
kirby's dream band,['Unknown']
miracle of sound,"['antiviral pop', 'irish metal', 'shanty']"
fantomenk,['chiptune']
suncraft,[]
traxx project,[]
gabriele menten,[]
simple plan,"['canadian pop punk', 'canadian punk', 'canadian rock', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock']"
alex,"['philly indie', 'pov: indie', 'slacker rock']"
unlike pluto,['la pop']
ayreon,"['celtic metal', 'dutch metal', 'neo classical metal', 'prog metal', 'progressive metal', 'sci-fi metal', 'symphonic metal']"
cysmix,['speedrun']
bluefoxmusic,[]
nothing to declare,['singaporean punk']
mili,['otacore']
world order,['j-pop boy group']
wantaways,[]
pharos,[]
mirrored theory,['chillstep']
009 sound system,['dream trance']
walking across jupiter,"['djent', 'instrumental progressive metal', 'instrumental rock']"
krale,['gaming edm']
vibrasphere,"['psychedelic trance', 'psychill']"
kdrew,"['brostep', 'complextro', 'electro house', 'filthstep']"
b-complex,[]
cicada,[]
an unkindness,[]
kill paris,"['chillstep', 'complextro', 'electro house', 'filthstep', 'future bass', 'melodic dubstep', 'vapor twitch']"
nick bounce,[]
pentakill,['melodic power metal']
jon o'bir,[]
standerwick,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
oliver smith,"['progressive house', 'progressive trance', 'uplifting trance']"
joshi,['modern bollywood']
sons of maria,"['deep tropical house', 'tropical house']"
mambo brothers,['latin tech house']
camelphat,"['deep tech house', 'house', 'progressive house', 'uk dance']"
tp,['canti alpini']
oxia,"['french tech house', 'minimal techno']"
reflekt,[]
phil martyn,[]
eleven fly,[]
philthy chit,['progressive house']
koen groeneveld,"['dark techno', 'house']"
edx,[]
jef miles,['progressive house']
andrã© sobota,['Unknown']
wrechiski,"['progressive house', 'progressive trance']"
tim mason,"['progressive electro house', 'progressive house']"
tchami,"['bass house', 'brostep', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
blank & jones,"['chill lounge', 'german techno', 'trance']"
amtrac,"['melodic house', 'nu disco']"
grum,[]
sovi,[]
enzo bennet,[]
richard marx,"['new wave pop', 'soft rock']"
uncle kracker,"['country', 'pop rock', 'post-grunge']"
barenaked ladies,"['canadian pop', 'canadian rock', 'pop rock', 'post-grunge']"
bruce cockburn,"['canadian singer-songwriter', 'classic canadian rock', 'contemporary folk', 'ectofolk', 'singer-songwriter']"
cher,[]
aqua,"['bubblegum dance', 'eurodance', 'europop']"
hellogoodbye,"['neon pop punk', 'pop punk']"
xxx car ride,['future rock']
hyper potions,"['kawaii future bass', 'pixel', 'speedrun', 'vgm remix']"
popskyy,[]
froxic,['complextro']
new world revolution,['neo-industrial rock']
rayden,"['rap conciencia', 'spanish hip hop']"
murtagh,[]
hideki naganuma,['japanese vgm']
teamfourstar,[]
nightstop,"['cyberpunk', 'synthwave']"
crywolf,"['chillstep', 'melodic dubstep']"
hyleo,['kawaii edm']
danny olson,[]
yuko komiyama,"['japanese vgm', 'sound team']"
gunship,['popwave']
pixl,"['complextro', 'gaming edm']"
nightwish,"['fantasy metal', 'finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']"
trey frey,['chiptune']
3force,['smooth jazz']
nyte,[]
wrld,"['chicago rap', 'melodic rap', 'rap']"
georgia,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
the noble six,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
tucandeo,[]
alessandra roncone,"['italian trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
dan chase,[]
johan ekman,[]
paul miller,['progressive uplifting trance']
mike shiver,"['progressive house', 'progressive trance', 'uplifting trance']"
cascada,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
roxette,"['europop', 'swedish pop', 'synthpop']"
dht,[]
jon young & j. cash,[]
alicia keys,"['neo soul', 'pop', 'r&b']"
david osborne,['classify']
glee cast,"['glee club', 'post-teen pop']"
the maine,"['neon pop punk', 'pop emo', 'pop punk', 'tempe indie']"
starsailor,"['britpop', 'lancashire indie', 'piano rock']"
ian van dahl,"['belgian dance', 'bouncy house', 'eurodance']"
liz kay,['hands up']
sonicaid,[]
adriel cruz,"['chicago rap', 'christian hip hop', 'christian trap']"
the rasmus,"['finnish alternative rock', 'funk metal']"
p.o.d.,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
wwe,['wrestling']
metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
muse,"['alternative rock', 'modern rock', 'permanent wave', 'rock']"
netsky,"['belgian edm', 'dancefloor dnb', 'drum and bass']"
pan,[]
in flames,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'swedish alternative rock', 'swedish death metal', 'swedish melodeath', 'swedish metal']"
project destati,['japanese vgm']
a perfect circle,"['alternative metal', 'alternative rock', 'nu metal', 'rock', 'supergroup']"
pellek,"['metal cover', 'otacore']"
raon,[]
tokio hotel,['german pop rock']
linked horizon,"['anime', 'otacore']"
shinsei kamattechan,['japanese alternative rock']
hiroyuki sawano,"['anime score', 'japanese soundtrack']"
rei shirooka (revo),['Unknown']
theishter,['anime piano']
none like joshua,['anime rap']
debra reynolds,[]
taro umebayashi,['yaoi']
pianodreams,[]
kyle landry,[]
omg music box,['Unknown']
jajnov,['otacore']
new anime revolution,[]
donald phan,"['otacore', 'pixel']"
sinitus tempo,['ambeat']
bring me the horizon,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']"
ghost town,"['pop emo', 'trancecore']"
downplay,"['gymcore', 'hard alternative']"
being as an ocean,"['melodic hardcore', 'metalcore']"
paradise fears,"['alternative pop rock', 'neon pop punk', 'south dakota indie']"
cardinal,"['alternative country', 'roots rock']"
breakaway,['gymcore']
sleeping with sirens,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
adam lambert,"['dance pop', 'idol', 'pop', 'post-teen pop']"
dãºnã©,['reggae fusion']
"myka, relocate","['metalcore', 'trancecore']"
sugar glyder,[]
logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']"
hollywood undead,"['alternative metal', 'modern rock', 'post-grunge', 'rap metal', 'rap rock']"
cartoon,['gaming edm']
oceans divide,"['gymcore', 'hard alternative']"
fable,['healing hz']
cartel,"['latin hip hop', 'mexican hip hop']"
story of the year,"['neon pop punk', 'pop punk', 'screamo']"
red,[]
the material,['pixie']
hopsin,"['conscious hip hop', 'indie pop rap']"
denzel curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'trap', 'underground hip hop']"
disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
stevie wonder,"['motown', 'soul']"
nat king cole,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']"
