artists,genres
tomas heredia,"['deep uplifting trance', 'progressive trance']"
mike candys,['pop house']
sunny lax,"['progressive house', 'progressive trance', 'uplifting trance']"
luigi lusini,['italian trance']
roald velden,['progressive trance house']
ron with leeds,['german trance']
way out west,"['classic progressive house', 'nu skool breaks', 'progressive house']"
terry da libra,"['progressive trance', 'progressive trance house']"
dada life,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
dynastrax,['sky room']
orjan nilsen,"['progressive electro house', 'progressive house', 'trance', 'uplifting trance']"
filo & peri,"['trance', 'uplifting trance']"
zombie nation,['german techno']
oen bearen,[]
steve nyman,[]
ramon vincent,[]
sarah russell,['vocal trance']
a.r.d.i.,"['indonesian pop rock', 'indonesian rock']"
kaimo k,"['progressive uplifting trance', 'uplifting trance']"
ellie lawson,['vocal trance']
nickelson,[]
temple one,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
arman bahrami,[]
two&one,"['dalarna indie', 'pixie']"
julian vincent,['dutch trance']
suncatcher,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
stargazers,[]
straight up!,[]
cathy burton,['vocal trance']
stine grove,['vocal trance']
lost witness,"['bouncy house', 'deep uplifting trance', 'trance']"
hazem beltagui,"['deep uplifting trance', 'progressive uplifting trance', 'uplifting trance']"
breakfast,"['art pop', 'eugene indie', 'indie pop', 'indie rock', 'philly indie']"
ost & meyer,"['progressive house', 'progressive trance', 'ukrainian edm']"
4 strings,"['dutch trance', 'trance', 'vocal trance']"
zahav,"['israeli indie', 'israeli rock']"
wildones,[]
blackmill,[]
menno de jong,"['dutch trance', 'trance', 'uplifting trance']"
ost,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
josh bailey,['progressive trance']
vicetone,"['edm', 'electro house', 'pop dance', 'progressive electro house']"
